dataset,tool,input_records,reference_records,emitted_records,intersection_records,emitted_fraction,precision,recall,f1
scirnaseq3,seqproc,22088821,19864110,19879895,19853935,0.8999980125693444,0.9986941580928873,0.999487769650893,0.9990908062738015
scirnaseq3,matchbox,22088821,19864110,19559040,19533875,0.8854723391529136,0.9987133826609077,0.9833752934312184,0.9909849923205021
scirnaseq3,splitcode,22088821,19864110,19695955,19669995,0.8916707233944265,0.9986819628700411,0.9902278531482156,0.9944369403841982
