dataset,comparator,tool,subset_input_records,vendor_records,emitted_records,intersection_records,union_records,emitted_fraction,precision,recall,f1,jaccard
splitseq_pe,archived_splitpipe_vendor_accepted_set,seqproc,10000000,7539920,7188008,6982142,7745786,0.7188008,0.971359798152701,0.9260233530329234,0.948149936637387,0.9014116837206708
splitseq_pe,archived_splitpipe_vendor_accepted_set,matchbox,10000000,7539920,4190196,4185457,7544659,0.4190196,0.9988690266517366,0.5551062875998685,0.7136258499063437,0.5547576106488047
splitseq_pe,archived_splitpipe_vendor_accepted_set,splitcode,10000000,7539920,6750656,6665064,7625512,0.6750656,0.9873209359208942,0.883970121698904,0.9327915123925027,0.874048063920167
