dataset,tool,input_records,reference_records,emitted_records,intersection_records,emitted_fraction,precision,recall,f1
splitseq_pe,seqproc,77621181,57437503,56991381,56796243,0.7342246055235877,0.9965760085722436,0.9888355174492874,0.9926906741483208
splitseq_pe,matchbox,77621181,57437503,35160366,35160366,0.45297386031784287,1.0,0.6121499745558229,0.7594206298635231
splitseq_pe,splitcode,77621181,57437503,53495595,53472550,0.6891881096217797,0.9995692168672954,0.9309692658470895,0.9640504225348507
