condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
splitseq_pe-t16-r1-seqproc,7d8b0228d9db8e343c6b7a8979ad4f21d02bd6cd06bfc8ee9847373e2fac25d0,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/7d8b0228d9db8e343c6b7a8979ad4f21d02bd6cd06bfc8ee9847373e2fac25d0/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,16,1,77621181,,0,[],25.690641676,128.1,3.95,51200,3021379.6128149307,0,
splitseq_pe-t16-r1-splitcode,1cdb7e83d1b2142cf14aa48c3027048716b34d44ca297a365000194058fd38f1,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/1cdb7e83d1b2142cf14aa48c3027048716b34d44ca297a365000194058fd38f1/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,16,1,77621181,,0,[],49.246456185,473.21,2.53,720352,1576178.003720858,0,
splitseq_pe-t1-r2-matchbox,3711e19a9f128d2002bb041efcdfae57afa0850f2599781cf79936d874728049,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/3711e19a9f128d2002bb041efcdfae57afa0850f2599781cf79936d874728049/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,1,2,77621181,,0,[],3870.2615073,3859.06,6.04,7927284,20055.797483863214,0,
splitseq_pe-t1-r2-splitcode,a6eeb5e888b20b6c3c4bdea144156668eab29d36ccc1e41e9f3c58daa6258ba6,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/a6eeb5e888b20b6c3c4bdea144156668eab29d36ccc1e41e9f3c58daa6258ba6/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,1,2,77621181,,0,[],423.004925634,420.05,2.37,163344,183499.47316490777,0,
splitseq_pe-t1-r2-seqproc,a38f0d2357aab4883212bfe404be2198c71fe6372c6c3cec33592d7b2b02e8bd,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/a38f0d2357aab4883212bfe404be2198c71fe6372c6c3cec33592d7b2b02e8bd/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,1,2,77621181,,0,[],116.01326761,112.97,2.88,10240,669071.5863718098,0,
splitseq_pe-t32-r1-matchbox,a94eba38ab99344a136ed466ebb1b52204b21a97f63d8a317a1247e78f66dc1d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/a94eba38ab99344a136ed466ebb1b52204b21a97f63d8a317a1247e78f66dc1d/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,32,1,77621181,,0,[],277.243382197,4117.58,12.27,7937860,279974.8740074342,0,
splitseq_pe-t32-r1-splitcode,88635a565387221110a0cd0e72d87d9804293b900b3cbfa629670710a6174233,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/88635a565387221110a0cd0e72d87d9804293b900b3cbfa629670710a6174233/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,32,1,77621181,,0,[],48.725038302,464.26,2.96,1312232,1593045.048397918,0,
splitseq_pe-t32-r1-seqproc,c88387def129b1db8001370d6b7b2d643a1b13f84a4a115f563ac6d09f1a6f6a,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/c88387def129b1db8001370d6b7b2d643a1b13f84a4a115f563ac6d09f1a6f6a/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,32,1,77621181,,0,[],26.798119483,132.73,4.23,95232,2896515.9681910058,0,
splitseq_pe-t1-r3-seqproc,303069c3f5b3922ada5476e61f245fbe8d62927d003cfcd721b0525a244c4636,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/303069c3f5b3922ada5476e61f245fbe8d62927d003cfcd721b0525a244c4636/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,1,3,77621181,,0,[],116.755702774,113.6,2.94,10240,664817.0423867744,0,
splitseq_pe-t1-r3-matchbox,104613d5faf36fa115acd29887c8c825e6e5e1af7ab76a18f262a1f59ebe056e,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/104613d5faf36fa115acd29887c8c825e6e5e1af7ab76a18f262a1f59ebe056e/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,1,3,77621181,,0,[],3900.297584948,3889.76,5.35,7930208,19901.3483739177,0,
splitseq_pe-t1-r3-splitcode,b50ab167b691f472971f59286c1f6bb7e96920c146d7f432d835454c4d00115b,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b50ab167b691f472971f59286c1f6bb7e96920c146d7f432d835454c4d00115b/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,1,3,77621181,,0,[],414.968011982,412.05,2.34,164760,187053.4083561288,0,
