tol,pair,per_gene_pearson_log,per_gene_spearman
1,seqproc|splitcode,0.9885,0.9873
1,seqproc|matchbox,0.9982,0.9977
1,splitcode|matchbox,0.9879,0.9867
2,seqproc|splitcode,0.9829,0.981
2,seqproc|matchbox,0.9973,0.9968
2,splitcode|matchbox,0.9818,0.9798
3,seqproc|splitcode,0.9816,0.9795
3,seqproc|matchbox,0.9968,0.9964
3,splitcode|matchbox,0.9802,0.978
4,seqproc|splitcode,0.9812,0.9789
4,seqproc|matchbox,0.9966,0.9961
4,splitcode|matchbox,0.9797,0.9773
