condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
scirnaseq3-t16-r3-seqproc,ebd042b8e0c0709aab1bdca9d24694d731962a857426d7f7dac19c951a813f41,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/ebd042b8e0c0709aab1bdca9d24694d731962a857426d7f7dac19c951a813f41/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,16,3,22088821,,0,[],6.472438524,19.73,0.87,38912,3412750.993013526,0,
scirnaseq3-t16-r3-splitcode,1c936f498d571cfde19e36d30b7e39f314eac2f90bfb9c3840a1349b07a14f5a,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/1c936f498d571cfde19e36d30b7e39f314eac2f90bfb9c3840a1349b07a14f5a/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,16,3,22088821,,0,[],11.679247833,33.08,0.57,931948,1891287.9764043964,0,
scirnaseq3-t16-r3-matchbox,c560c3fa356853105ce8d34249b99a95977e4e217e1d0a89a62df828c114ec3a,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/c560c3fa356853105ce8d34249b99a95977e4e217e1d0a89a62df828c114ec3a/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,16,3,22088821,,0,[],71.452977405,302.33,2.43,3187664,309137.86663919076,0,
scirnaseq3-t32-r2-splitcode,84d9e26213f484dccf06631bd17eb23df06f9b99d165fabd33d0e609e03c16eb,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/84d9e26213f484dccf06631bd17eb23df06f9b99d165fabd33d0e609e03c16eb/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,32,2,22088821,,0,[],10.427567162,30.49,0.63,1877700,2118310.1155651896,0,
scirnaseq3-t32-r2-matchbox,983c817cfb3de7a01f41d2a2d74eb4577c71a1aea9f9c3ecede8cf967d0feed2,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/983c817cfb3de7a01f41d2a2d74eb4577c71a1aea9f9c3ecede8cf967d0feed2/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,32,2,22088821,,0,[],74.204158491,385.6,14.64,3178252,297676.3223139184,0,
scirnaseq3-t32-r2-seqproc,0fb8cad9c18ff6eb6dd484aa80e0849c199be398601da1b5be02cffca82835af,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/0fb8cad9c18ff6eb6dd484aa80e0849c199be398601da1b5be02cffca82835af/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,32,2,22088821,,0,[],6.77182894,20.89,0.93,74752,3261869.311187887,0,
scirnaseq3-t1-r2-splitcode,9ebdc6c4d3284e93864c912415fa20065e059e3712f1289c1971a22b3eef05bd,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/9ebdc6c4d3284e93864c912415fa20065e059e3712f1289c1971a22b3eef05bd/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,1,2,22088821,,0,[],27.199473729,26.73,0.4,53708,812104.7201162926,0,
scirnaseq3-t1-r2-matchbox,19bc7864998cd6fc6220a030947704be8effdd173d527fd1a2ef4c6db26db1eb,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/19bc7864998cd6fc6220a030947704be8effdd173d527fd1a2ef4c6db26db1eb/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,1,2,22088821,,0,[],232.512042828,230.72,1.39,3196844,95000.76095559546,0,
scirnaseq3-t1-r2-seqproc,a6cc8fe97928d40ae8582bb9511d59ba5ad551d253f66731452f7719ed7b7d40,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/a6cc8fe97928d40ae8582bb9511d59ba5ad551d253f66731452f7719ed7b7d40/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,1,2,22088821,,0,[],16.084922911,15.47,0.57,9216,1373262.4720814866,0,
scirnaseq3-t16-r2-seqproc,585f65158feb222820c243347d89a9961bf801d9ea6af0c2a24e1ccf39d8574c,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/585f65158feb222820c243347d89a9961bf801d9ea6af0c2a24e1ccf39d8574c/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,16,2,22088821,,0,[],6.472551728,19.49,0.9,39936,3412691.3044888685,0,
scirnaseq3-t16-r2-splitcode,b01d67f9e1541742b2c33f367645981824813b4246fcd15024ac31a7da57fc84,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b01d67f9e1541742b2c33f367645981824813b4246fcd15024ac31a7da57fc84/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,16,2,22088821,,0,[],11.685017378,32.94,0.55,905520,1890354.1420133265,0,
scirnaseq3-t16-r2-matchbox,0df91331a01cb9acb54d1b4d95630d2ec5c1cdfbef8ffdc32dc30552f68818e6,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/0df91331a01cb9acb54d1b4d95630d2ec5c1cdfbef8ffdc32dc30552f68818e6/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,16,2,22088821,,0,[],72.505193519,305.51,2.29,3187296,304651.5694660082,0,
scirnaseq3-t4-r2-seqproc,35553d76d5917f1255822f396981487bba37244dbe02bca6137e63bb4dfc1378,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/35553d76d5917f1255822f396981487bba37244dbe02bca6137e63bb4dfc1378/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,4,2,22088821,,0,[],6.572946124,15.98,0.6,15360,3360566.264090681,0,
scirnaseq3-t4-r2-matchbox,a9d27ae7f5ad5215f475c03aa557034ef85be7ffbf2c1763345cd79c5902cb93,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/a9d27ae7f5ad5215f475c03aa557034ef85be7ffbf2c1763345cd79c5902cb93/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,4,2,22088821,,0,[],89.329053137,234.98,1.66,3192804,247274.7692301558,0,
scirnaseq3-t4-r2-splitcode,b1994300247f874b5f892ef60a06481a876f617648af3c4adb13dfc560f6b698,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b1994300247f874b5f892ef60a06481a876f617648af3c4adb13dfc560f6b698/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,4,2,22088821,,0,[],12.880777543,36.16,0.46,185460,1714867.0510192972,0,
scirnaseq3-t32-r3-splitcode,81673a19cf568cb0c26923ab0607c1d76d0e7f166cbc6952fcf13af8865c3694,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/81673a19cf568cb0c26923ab0607c1d76d0e7f166cbc6952fcf13af8865c3694/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,32,3,22088821,,0,[],10.380712477,30.47,0.74,1849060,2127871.381558929,0,
scirnaseq3-t32-r3-matchbox,d40035b8c92407096a253ab00a143fda960243a2e0c15338c6491e07d831a86b,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/d40035b8c92407096a253ab00a143fda960243a2e0c15338c6491e07d831a86b/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,32,3,22088821,,0,[],75.75744542,393.8,13.6,3178868,291572.93883841205,0,
scirnaseq3-t32-r3-seqproc,d51dc9f6988e3cb88f0f1a16c06011c7137851de2e00790fbe3134456b85b4bc,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/d51dc9f6988e3cb88f0f1a16c06011c7137851de2e00790fbe3134456b85b4bc/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,32,3,22088821,,0,[],6.772906227,21.37,0.96,73728,3261350.4837766006,0,
